Epoch,FrFT-GADF-AWC-TSAR,FrFT-GADF-ResNet,FrFT-GADF-VGG16,FrFT-GADF-DenseNet,Wavelet-CNN,Adaptive-CNN,LMSWT-SE-MSCNN,MARP-ResNet34
1,14.126984126984127,11.26984126984127,14.444444444444445,33.12169312169312,21.164021164021165,20.476190476190474,43.439153439153436,16.719576719576718
2,21.904761904761905,11.005291005291005,22.804232804232804,60.8994708994709,32.53968253968254,29.576719576719576,76.03174603174604,24.761904761904763
3,27.46031746031746,12.91005291005291,27.195767195767196,73.43915343915344,40.95238095238095,37.56613756613756,92.01058201058201,32.116402116402114
4,30.0,9.62962962962963,29.417989417989418,81.11111111111111,48.148148148148145,43.492063492063494,96.87830687830687,38.25396825396825
5,32.804232804232804,14.39153439153439,33.96825396825397,88.46560846560847,51.32275132275132,47.301587301587304,97.98941798941799,44.973544973544975
6,37.93650793650794,17.24867724867725,37.56613756613756,91.85185185185185,53.597883597883595,51.00529100529101,98.0952380952381,51.00529100529101
7,41.6931216931217,21.21693121693122,44.86772486772487,93.01587301587301,56.613756613756614,52.75132275132275,98.2010582010582,54.4973544973545
8,45.07936507936508,22.645502645502646,52.857142857142854,95.66137566137566,60.52910052910053,54.12698412698413,98.62433862433862,56.03174603174603
9,50.74074074074074,19.62962962962963,55.29100529100529,96.08465608465609,66.03174603174604,57.08994708994709,98.67724867724868,58.62433862433863
10,52.16931216931217,23.915343915343914,61.00529100529101,97.56613756613757,67.14285714285714,58.62433862433863,99.25925925925925,60.317460317460316
11,54.86772486772487,23.80952380952381,64.4973544973545,97.67195767195767,68.46560846560847,64.02116402116403,99.31216931216932,64.76190476190476
12,58.095238095238095,26.772486772486772,69.52380952380952,97.51322751322752,70.52910052910053,63.91534391534392,98.94179894179894,67.19576719576719
13,59.735449735449734,30.582010582010582,69.41798941798942,97.24867724867725,72.32804232804233,63.544973544973544,99.41798941798942,68.2010582010582
14,63.544973544973544,35.18518518518518,71.85185185185185,98.41269841269842,75.23809523809524,68.994708994709,99.41798941798942,70.52910052910053
15,66.4021164021164,42.27513227513227,74.76190476190476,99.1005291005291,75.5026455026455,66.5079365079365,99.52380952380952,70.31746031746032
16,70.63492063492063,45.026455026455025,78.46560846560847,99.57671957671958,75.55555555555556,68.14814814814815,99.62962962962963,71.6931216931217
17,73.28042328042328,46.08465608465608,79.1005291005291,99.52380952380952,77.93650793650794,69.52380952380952,99.36507936507937,73.12169312169313
18,74.28571428571429,46.93121693121693,84.60317460317461,99.41798941798942,80.0,72.75132275132275,99.68253968253968,75.39682539682539
