Epoch,ResNet,VGG16,DenseNet,Wavelet-CNN,Adaptive-CNN,LMSWT-SE-MSCNN,MARP-ResNet34,Proposed
1,1.4151117205619812,28.26711759396962,1.0097908931119102,1.3266777396202087,1.153415526662554,0.8726664100374494,1.3337449516568864,1.4178117513656616
2,1.3968682033675057,1.3687369057110377,0.4172322026320866,1.140125266143254,0.8448097322668348,0.22791135204689844,1.1757207257407052,1.3521918569292342
3,1.395180651119777,1.2207041084766388,0.22191252506205014,0.8582112959453038,0.6590330387864795,0.0887031935687576,1.0052860081195831,1.241159098488944
4,1.3735376255852836,1.019931094987052,0.08763412678880352,0.6640253982373646,0.562588170170784,0.11186842460717474,0.8424716123512813,1.2043652108737402
5,1.2438538244792394,0.8968629624162402,0.056703997642866204,0.5212909217391696,0.4883505723306111,0.07491932756134442,0.7152977670942035,1.0891497220311845
6,1.0396871183599745,0.9922394284180233,0.04123202804476023,0.4175364545413426,0.40199522354773115,0.050123795334781916,0.6222081652709416,1.0651738686220986
7,0.980875028031213,0.8307292929717472,0.07925055881163903,0.34333987746919903,0.35486989468336105,0.037766065914183855,0.553289383649826,0.9959713092872075
8,0.9493249825068882,0.7442401647567749,0.07479174295440316,0.2925969383546284,0.3533154545085771,0.02193625783547759,0.4959666792835508,0.9344754772526878
9,0.9222739636898041,0.56853072983878,0.11393916979432106,0.2560760879090854,0.33557595525469097,0.010220039103712355,0.4631818171058382,0.8814582782132285
10,0.9075554737022945,0.5953592870916639,0.1096058509179524,0.20657490459936007,0.3329706255878721,0.007330684157620583,0.39473687538078855,0.8681417618479047
11,0.9168097674846649,0.7654817955834525,0.08513322472572327,0.22997448593378067,0.2881397871034486,0.05772130678607417,0.3853387343032019,0.7558147779532841
12,0.8728435891015189,0.4810284014259066,0.06955386405544621,0.1568980153117861,0.2957112193107605,0.13191454238923533,0.3301171383687428,0.6956504498209272
13,0.897496644939695,0.4851248860359192,0.05707240157893726,0.15702052786946297,0.2725018465093204,0.06280903983861208,0.2846116093652589,0.6967440119811467
14,0.9006494411400386,0.48833130087171284,0.03848436228664858,0.13634282882724488,0.24340870444263732,0.018819000106304884,0.2496201651436942,0.6312700935772487
15,0.8785216850893838,0.5015855346407209,0.10622482953060951,0.11133106957588877,0.2399779228227479,0.025801884692295322,0.21697985168014253,0.5675391938005175
16,0.9222017186028617,0.5597305787461144,0.05502322070034487,0.11397118440696172,0.24677461279290064,0.021764450340664813,0.2047091041292463,0.5611852088144847
17,0.8615968823432922,0.5904370674065181,0.028872490860521793,0.107795492878982,0.2271268985101155,0.08907098386303655,0.17581855292831147,0.5016214783702578
18,0.8346652473722186,0.48120064181940897,0.010641732652272497,0.09260574142847743,0.20691322801368578,0.06753426580689847,0.15607806188719614,0.42926831756319317
19,0.8509565889835358,0.3115751328212874,0.012145177976760482,0.07865046683166708,0.2098383286169597,0.021569851453283002,0.12391354888677597,0.37150658879961285
20,0.7270265860216958,0.29395096589412006,0.013041527376377158,0.061079285240599086,0.2050715908408165,0.011806209205782838,0.17030691994088037,0.3603403536336763
21,0.6472538496766772,0.3016146740743092,0.004056859761476517,0.0801468315933432,0.2183570515896593,0.0066452574683353305,0.12182613302554403,0.28415753692388535
22,0.5735006928443909,0.2839696290237563,0.13557015420935517,0.06458973924496345,0.17769294072474753,0.002793764030294759,0.11627857041146074,0.2819259049636977
23,0.5154314381735665,0.17643576035542147,0.05071902575270672,0.07233961059578828,0.16477385003651893,0.003927180460388107,0.12470908356564385,0.25013605292354313
24,0.49888958249773296,0.1067619291799409,0.0154429815842637,0.0566229128411838,0.13388510633792197,0.0029799611823234174,0.0672666345323835,0.19533862067120417
25,0.4081679220710482,0.08789157654194112,0.008811051774370884,0.05478301178663969,0.17076349471296584,0.0019981041716943893,0.06521552268947874,0.14134311409933226
26,0.36819377328668323,0.06283530099816355,0.01666670314235879,0.07260595235441412,0.14747163440499986,0.00215662330239346,0.07091771146016461,0.15557963560734475
27,0.3326505592891148,0.1291680998568024,0.031277159844259064,0.05234456308452146,0.1296058568571295,0.018020611801018407,0.05870129061596734,0.14320652985147067
28,0.2892266554491861,0.04859453106512644,0.06645456282421947,0.12383746395685843,0.13367262216550962,0.04459632247952478,0.04481469414063862,0.11465418179120336
29,0.27147295964615686,0.04859149414446965,0.03213184326887131,0.06394671382648605,0.13969139275806292,0.009180431886176978,0.06351319673870291,0.10407995379396848
30,0.24802200389759882,0.04009394028345322,0.04584015975706279,0.05649697221815586,0.1558322278516633,0.009811199103881205,0.06445186465446438,0.1137707100382873
31,0.20466203774724687,0.06698797984738901,0.013318785017223231,0.04659905098378658,0.16079134786767618,0.0030405075438985868,0.04960804685418095,0.1744324905531747
32,0.20606634340115956,0.10549908884734448,0.06030137805334691,0.07445989895079817,0.20238748432270118,0.0028126127602133367,0.0958254434434431,0.12351309481476035
33,0.19616103864141873,0.08865340952356096,0.034706855924533944,0.04406449564599565,0.1464166763637747,0.0022447782456375925,0.08293844998947211,0.08418064990213939
34,0.17704542406967708,0.050122138911059926,0.024100122042000294,0.051843000043715746,0.14097646517413004,0.00215248522415225,0.046522644348442554,0.06818174012005329
35,0.14750362719808305,0.04117227889137861,0.025333906740083227,0.08445546596444078,0.11159149663788932,0.0025492771778122653,0.03062987733366234,0.12728458563131945
36,0.14516294907246316,0.15074028553707258,0.011222013072775943,0.05925872615937676,0.10306385585239955,0.0024710610658595605,0.026114631444215775,0.06954905337521008
37,0.1226787231862545,0.03750255959572054,0.006276895591456976,0.06805493835625905,0.1059858069888183,0.01075817339837418,0.031232629237430438,0.09974586218595505
38,0.13406240354691232,0.034831465105266295,0.008456141746137291,0.036404122465423176,0.12152949427919728,0.014274952650469328,0.04297191623066153,0.05638334048645837
39,0.11419230699539185,0.04824569867923856,0.001404701262280079,0.03664203453809023,0.08626035441245351,0.008957073508229638,0.04321106124137129,0.05659513734281063
40,0.0937495513686112,0.043963507868673854,0.001594962868174272,0.023182607904475714,0.11051092616149358,0.004392313213819372,0.033060367086103985,0.051085976883769035
41,0.10476461638297353,0.0332640942172629,0.01923417897861717,0.03132243547588587,0.15269909240305424,0.002720414594347988,0.02200777150158371,0.14375241273748024
42,0.09297550629292216,0.048989807683808194,0.004545175279158035,0.045782429698322503,0.11413365442837987,0.004834922608487042,0.021683045995554755,0.09414633642882109
43,0.09981309808790684,0.0286375237971827,0.01410904253134504,0.038598913699388504,0.10914262277739388,0.0018645068090076425,0.023791759674038206,0.11001335696450301
44,0.08621768387300628,0.03717454107079116,0.0074756866753367445,0.034703546070626805,0.10444222736571517,0.0023878979679596212,0.060751201518412144,0.05153045683567013
45,0.08003038540482521,0.025884590048268104,0.003219910523122443,0.07372743476714406,0.09641282393464021,0.0015950802938147848,0.03720556751691869,0.06097864878496954
46,0.07187606633773871,0.02710239755520811,0.0029488900701315807,0.03822980774566531,0.13745353929698467,0.002285175333132169,0.030852023046463728,0.050666035286017826
47,0.0785389609102692,0.016040483326962982,0.01816548527235032,0.037824107334017754,0.09950172874544348,0.001979218704426395,0.018266604015869752,0.05401886028370687
48,0.07982634087758404,0.02737618593658096,0.0026921040511557032,0.04189820434632046,0.09458664618432522,0.0014199411130643316,0.018009473702737262,0.07997550323073353
49,0.06710349795009408,0.022696118704126484,0.009595611827015611,0.027685646300337145,0.08067926312131542,0.06911170666821168,0.017586126324853728,0.033351704478263855
50,0.08020360421921525,0.022611894355447606,0.0034968682780994902,0.055336268219564645,0.09169653989374638,0.014970180133656998,0.03389094337554915,0.03441703865038497
51,0.06255230001573052,0.03906799271453565,0.002518373034295759,0.025846350405897413,0.07671442521469933,0.011388355807866901,0.02310045083452548,0.03292574241225209
52,0.07388369579400335,0.024018146266566225,0.0014955174784907804,0.030448981993166462,0.061789175761597495,0.021975460379118367,0.02776446665770241,0.19478173607162066
53,0.05603865374411855,0.06997403567324259,0.011610559125464144,0.020304102284301604,0.07800006254443101,0.008496100611020145,0.03554403628887875,0.032933252065309455
54,0.05761370382138661,0.10786659252698882,0.0057172788531585994,0.02185268247766154,0.0640533095491784,0.0059599281770975465,0.02318823789911611,0.034069284929760864
55,0.05967707985213825,0.06663975112106917,0.008220660911839721,0.019976762223190496,0.11143204516598157,0.004464476352690586,0.017659205411161696,0.038037171587347984
56,0.04819571506232023,0.049586000719240735,0.0021007680043112487,0.02096294318991048,0.0723593990052385,0.002436693770245516,0.015971374099275897,0.029659710891012634
57,0.07332773772733552,0.06003709344076924,0.0018544784148356744,0.023499909705216333,0.07976266821580273,0.004648570570030383,0.02275563164481095,0.02418578542502863
58,0.05215865865881954,0.028557930478460287,0.002263932264343436,0.03018000608842288,0.06942821214241642,0.005930261719705803,0.02599387476220727,0.024307215054120337
59,0.061708097479173114,0.02860630340000065,0.001227688746959237,0.021876137470826507,0.08367484887795788,0.001782618130424193,0.026429931899266585,0.0241113961674273
60,0.11337613793356079,0.02069156124949651,0.0009389624382103128,0.04077882858525429,0.05152411013841629,0.0021857949406174676,0.05407687110294189,0.027330333100897924
61,0.07599870514656816,0.019165721505487454,0.0009848903282545507,0.01683805011478918,0.07271699554153851,0.030098103785089085,0.027947676368057728,0.0015872894769667514
62,0.06476790138653346,0.029582551173526945,0.01620735215588606,0.020864359069881693,0.06690629757940769,0.03983293393892901,0.0305824482015201,0.002983813756145537
63,0.06201210777674403,0.024277628295478287,0.0014981158102662967,0.021186846973640577,0.06560150187994752,0.03323236759752035,0.01500971442354577,0.0013657673885713198
64,0.04749923964430179,0.0235124059597313,0.007129039490661983,0.05969482460724456,0.09725462272763252,0.025176528176026686,0.016967784147709608,0.0015878000038875534
65,0.04750298735286508,0.02664325810292212,0.006037331843149981,0.06698591278732888,0.09036923811904021,0.05734774297369378,0.03140421740577689,0.0013672493389874165
66,0.042698966937937906,0.020695055072759976,0.023959239354423647,0.03798451484180987,0.10064881281661135,0.0786968272046319,0.012588591847036566,0.0015025805083236524
67,0.0349958091309028,0.023919021332403645,0.005845053503955049,0.05466634926519224,0.09802976623177528,0.035121709773583074,0.015306370332837105,0.0027948410965369214
68,0.04026727604546717,0.019631039464521955,0.004187916255822139,0.018778353430596844,0.07601473546986069,0.024916223449898616,0.018002099956252744,0.0014634199136967904
69,0.041145981555538516,0.02879507518706045,0.002329387323698029,0.015830855583772063,0.06778541646365609,0.02281638327986002,0.08289013224254761,0.0012073728222666042
70,0.042148866690695286,0.025871236842379273,0.00182390542509633,0.020704292259844288,0.06585922757429737,0.01999098977207073,0.01997548807412386,0.0010145886293945036
71,0.04908329275037561,0.026327150961305636,0.004104023524892649,0.04618300434335002,0.06545879452356271,0.08512349779318486,0.016980846345956837,0.01624129475177532
72,0.03487270791083574,0.023399531247053216,0.0014492893075969601,0.01620284321584872,0.06573682970234326,0.03502619745475905,0.01893860051807548,0.0013806323778615998
73,0.04041812169764723,0.04143247471074574,0.04908699004278917,0.03309351611616356,0.0442876990086266,0.040784053171851804,0.025651605799794197,0.003018123991621126
74,0.03731385764798948,0.025685138894394704,0.004347435924241186,0.023030201771429608,0.05033793293737939,0.02494663113195981,0.01465399214066565,0.001572217172776748
75,0.03405031508633068,0.023433421086013238,0.004423253676837443,0.018454709589215263,0.10271060919123036,0.09437869090054717,0.02148670277425221,0.004062494670506567
76,0.03170458706361907,0.018101468999873305,0.008652596329089388,0.07007791567593813,0.07413858095450061,0.02710743048893554,0.024004574599010602,0.0013259099068818614
77,0.03389919642359018,0.027663657232161704,0.0011428806548272924,0.023806658373879536,0.06655662613255638,0.04136213207883494,0.022366063203662634,0.0009654014387966267
