Epoch,SE-TSARs-Net,ECA-TSARs-Net,CA-TSARs-Net,CBAM-TSARs-Net
1,2.2305747747421263,2.2530764818191527,2.2227822065353395,2.2477272748947144
2,2.1446605841318767,2.230840214093526,2.0885178804397584,2.1644280036290486
3,2.0279694835344952,2.2099767684936524,1.9420480132102966,2.048484206199646
4,1.9203835050264995,2.1806109031041463,1.8170907497406006,1.9452017625172933
5,1.8401730537414551,2.1454477389653523,1.6940582871437073,1.8655453205108643
6,1.7825756867726643,2.1297686735788983,1.6020549178123473,1.769244372844696
7,1.7029407779375711,2.0839739243189492,1.5130258401234944,1.7258620103200277
8,1.636522897084554,2.054551963011424,1.4102739095687866,1.6603564937909445
9,1.5766356070836385,2.0015974839528403,1.3287681221961976,1.5940071900685628
10,1.526045290629069,1.9702490091323852,1.2537575443585713,1.524938170115153
11,1.462277925014496,1.9152364134788513,1.184146277109782,1.460983928044637
12,1.4014091849327088,1.8801743745803834,1.111240174372991,1.3937052011489868
13,1.3744462172190348,1.846436087290446,1.0548955082893372,1.3113065083821616
14,1.3121631860733032,1.815643056233724,1.0284625053405763,1.2726962129275003
15,1.2751503745714823,1.7783684253692627,0.9545065681139628,1.1918588081995647
16,1.2219800750414531,1.7587931672732036,0.9159647246201833,1.1290231625239053
17,1.1646162549654642,1.7314534385999043,0.8469645460446675,1.0828638911247253
18,1.1262270092964173,1.703242588043213,0.7995916088422139,1.027142475048701
19,1.0747299412886302,1.6704153656959533,0.7224584877490997,0.9711694320042928
20,1.0372961302598318,1.6436283508936564,0.6594201674064001,0.9241940339406332
21,0.9834953765074412,1.6069841543833414,0.6015985578298568,0.8804654876391093
22,0.9491090595722198,1.5815215150515238,0.5312249332666397,0.7964891413847606
23,0.9131938338279724,1.5345248500506083,0.4889083097378413,0.7466990292072296
24,0.890725314617157,1.5135757247606914,0.4466355085372925,0.6875861138105392
25,0.8530712246894836,1.4951419949531555,0.4041970541079839,0.636631331841151
26,0.8210918525854747,1.4509103020032248,0.3515966052810351,0.5859660605589548
27,0.7731205443541209,1.4533226370811463,0.29227700382471083,0.5220325698455175
28,0.7715354879697164,1.3749692956606547,0.26502736459175746,0.46736951172351837
29,0.6885007520516714,1.3630808552106222,0.23992240851124128,0.4258629391590754
30,0.668833198149999,1.3453489979108175,0.22569660643736522,0.36608172257741295
