Epoch,SE-TSARs-Net,ECA-TSARs-Net,CA-TSARs-Net,CBAM-TSARs-Net
1,1.5054970128195626,1.4227897439684187,1.4798585602215357,1.4122958268438066
2,1.3771445495741708,1.3076384493282862,1.3560478857585363,1.3454060639653886
3,1.262866837637765,1.2364866988999503,1.2767230016844613,1.2483757138252258
4,1.2008319752556937,1.1633473975317818,1.1995342033249992,1.1346285939216614
5,1.1390631624630518,1.0868504302842277,1.1481860876083374,1.0715580412319727
6,1.0793036137308394,1.0425261344228471,1.0657582453319006,1.0231494648115975
7,1.0195650969232832,0.9895668625831604,0.9955747553280422,0.9345702018056598
8,0.9593473161969867,1.0198945913996016,0.9965032168797084,0.8566846804959434
9,0.9326694437435695,0.8794312988008771,1.01887788942882,0.7989998374666486
10,0.9393020910876138,0.912444680929184,0.9778122050421578,0.7582543918064663
11,0.8336022709097181,0.8403266285146985,0.8884329795837402,0.7127764778477805
12,0.7837242271218982,0.8174908288887569,0.8546651559216636,0.6230710744857788
13,0.7677736239773887,0.7712375266211373,0.837661121572767,0.5559330880641937
14,0.7698999515601567,0.6779361920697349,0.792743193251746,0.47288029534476145
15,0.6985071471759251,0.6348561985152108,0.741241033588137,0.4482961211885725
16,0.654408186674118,0.6040360331535339,0.6965266423566001,0.3224637508392334
17,0.6128144030060086,0.5565888498510633,0.6648451685905457,0.30280523960079464
18,0.6057597462620053,0.5093800957713809,0.6211372443607875,0.20459266006946564
19,0.5792108050414494,0.5408700300114495,0.5760706386395863,0.19517323587621963
20,0.4960761410849435,0.4733212888240814,0.5758111562047686,0.16528375978980744
21,0.44602443277835846,0.43552822726113455,0.5496472311871392,0.13677338750234672
22,0.40809101292065214,0.36718195357492994,0.5920487067529133,0.11473925198827471
23,0.4158151660646711,0.38303665284599575,0.4936974602086203,0.10457176395824977
24,0.3618988160576139,0.3085064781563623,0.4815678724220821,0.08366500000868525
25,0.3715333810874394,0.33128478484494345,0.4444683790206909,0.07240976446441241
26,0.29988084520612446,0.23863316433770315,0.43381111536707195,0.16462599459503377
27,0.2735662343246596,0.20290254375764302,0.40590812478746685,0.0805408600717783
28,0.22938056928770884,0.20356427984578268,0.38979501383645193,0.11201591044664383
29,0.22756339396749223,0.19233623040573938,0.33989828399249483,0.11837432320628848
30,0.18643519920962198,0.18935147619673184,0.31208961669887814,0.107802116977317
31,0.22613658010959625,0.22534993131245887,0.35135702575956074,0.08229422595884119
32,0.18464970641902514,0.16475977908287728,0.33655176737478804,0.08325028313057763
33,0.15525128532733237,0.15697293409279414,0.29843481949397493,0.06245103318776403
34,0.11447500277842794,0.13604818657040596,0.3460174522229603,0.11611565508480583
35,0.1615302488207817,0.19146108494273253,0.2819858927811895,0.07702405085521084
36,0.11290379986166954,0.132264893501997,0.26678075960704256,0.06669158155896834
37,0.09513955563306808,0.12447395973971911,0.26675536057778765,0.04544357715972832
38,0.0897518585303,0.10282938608101436,0.2543227108461516,0.048791151493787766
39,0.08936160616576672,0.13042831607162952,0.2178030971969877,0.10692317531044994
40,0.08745038988334793,0.09084689750203065,0.2019867322274617,0.051561755261250904
41,0.07442952479634966,0.11317358618336064,0.21958408717598235,0.05406411032059363
42,0.05672685895115137,0.10128726411078658,0.2739296055265835,0.08872570044228009
43,0.11472244401063238,0.11487947537430696,0.17652249868427003,0.05912238958158663
44,0.12510916643909045,0.08514174366635936,0.18490571954420634,0.05208478415650981
45,0.10018449595996312,0.10668135780308928,0.14085167752844946,0.040677339636853764
46,0.10239622249667134,0.06170681917241642,0.1370112725666591,0.04024126473814249
47,0.08256784161286694,0.06374242343008518,0.13407571161431925,0.07388583038534437
48,0.0726211117580533,0.04486830612378461,0.1632993801363877,0.031887148041278124
49,0.15475253534636327,0.046077480140541284,0.12570977530309133,0.1160063666424581
50,0.13940416489328658,0.11537119120891605,0.11204803522144045,0.041831882138337405
51,0.05413765087723732,0.06423363422176667,0.10358266745294843,0.04305081774613687
52,0.06607019701706511,0.043026184397084374,0.10182902988578592,0.04216657073370048
53,0.048726641439965794,0.039369625438536913,0.09874030468719346,0.05697942591671433
54,0.078726377338171,0.05576209803777082,0.0897120540695531,0.027858071760939702
