Dataset,Model,Accuracy,Precision,Recall,F1-Score
hit,FrFT-GADF-AWC-TSAR,99.67 ± 0.11,99.67 ± 0.11,99.67 ± 0.11,99.67 ± 0.11
hit,FrFT-GADF-ResNet,94.22 ± 1.09,94.67 ± 0.81,94.22 ± 1.09,94.24 ± 1.10
hit,FrFT-GADF-VGG16,98.67 ± 1.02,98.69 ± 1.00,98.67 ± 1.02,98.67 ± 1.01
hit,FrFT-GADF-DenseNet,97.28 ± 0.27,97.31 ± 0.25,97.28 ± 0.27,97.28 ± 0.27
hit,Wavelet-CNN,95.67 ± 2.88,96.17 ± 2.42,95.67 ± 2.88,95.49 ± 3.08
hit,Adaptive-CNN,95.67 ± 3.27,96.05 ± 2.88,95.67 ± 3.27,95.51 ± 3.44
hit,LMSWT-SE-MSCNN,99.00 ± 0.82,99.06 ± 0.75,99.00 ± 0.82,99.00 ± 0.81
hit,MARP-ResNet34,93.89 ± 0.72,93.98 ± 0.71,93.89 ± 0.72,93.85 ± 0.73
