Epoch,Proposed,ResNet,VGG16,DenseNet,Wavelet-CNN,Adaptive-CNN,LMSWT-SE-MSCNN,MARP-ResNet34
1,0.8726664100374494,1.4151117205619812,28.26711759396962,1.0097908931119102,1.3266777396202087,1.153415526662554,1.4178117513656616,1.3337449516568864
2,0.22791135204689844,1.3968682033675057,1.3687369057110377,0.4172322026320866,1.140125266143254,0.8448097322668348,1.3521918569292342,1.1757207257407052
3,0.0887031935687576,1.395180651119777,1.2207041084766388,0.22191252506205014,0.8582112959453038,0.6590330387864795,1.241159098488944,1.0052860081195831
4,0.11186842460717474,1.3735376255852836,1.019931094987052,0.08763412678880352,0.6640253982373646,0.562588170170784,1.2043652108737402,0.8424716123512813
5,0.07491932756134442,1.2438538244792394,0.8968629624162402,0.056703997642866204,0.5212909217391696,0.4883505723306111,1.0891497220311845,0.7152977670942035
6,0.050123795334781916,1.0396871183599745,0.9922394284180233,0.04123202804476023,0.4175364545413426,0.40199522354773115,1.0651738686220986,0.6222081652709416
7,0.037766065914183855,0.980875028031213,0.8307292929717472,0.07925055881163903,0.34333987746919903,0.35486989468336105,0.9959713092872075,0.553289383649826
8,0.02193625783547759,0.9493249825068882,0.7442401647567749,0.07479174295440316,0.2925969383546284,0.3533154545085771,0.9344754772526878,0.4959666792835508
9,0.010220039103712355,0.9222739636898041,0.56853072983878,0.11393916979432106,0.2560760879090854,0.33557595525469097,0.8814582782132285,0.4631818171058382
10,0.007330684157620583,0.9075554737022945,0.5953592870916639,0.1096058509179524,0.20657490459936007,0.3329706255878721,0.8681417618479047,0.39473687538078855
11,0.05772130678607417,0.9168097674846649,0.7654817955834525,0.08513322472572327,0.22997448593378067,0.2881397871034486,0.7558147779532841,0.3853387343032019
12,0.13191454238923533,0.8728435891015189,0.4810284014259066,0.06955386405544621,0.1568980153117861,0.2957112193107605,0.6956504498209272,0.3301171383687428
13,0.06280903983861208,0.897496644939695,0.4851248860359192,0.05707240157893726,0.15702052786946297,0.2725018465093204,0.6967440119811467,0.2846116093652589
14,0.018819000106304884,0.9006494411400386,0.48833130087171284,0.03848436228664858,0.13634282882724488,0.24340870444263732,0.6312700935772487,0.2496201651436942
15,0.025801884692295322,0.8785216850893838,0.5015855346407209,0.10622482953060951,0.11133106957588877,0.2399779228227479,0.5675391938005175,0.21697985168014253
16,0.021764450340664813,0.9222017186028617,0.5597305787461144,0.05502322070034487,0.11397118440696172,0.24677461279290064,0.5611852088144847,0.2047091041292463
17,0.08907098386303655,0.8615968823432922,0.5904370674065181,0.028872490860521793,0.107795492878982,0.2271268985101155,0.5016214783702578,0.17581855292831147
18,0.06753426580689847,0.8346652473722186,0.48120064181940897,0.010641732652272497,0.09260574142847743,0.20691322801368578,0.42926831756319317,0.15607806188719614
19,0.021569851453283002,0.8509565889835358,0.3115751328212874,0.012145177976760482,0.07865046683166708,0.2098383286169597,0.37150658879961285,0.12391354888677597
20,0.011806209205782838,0.7270265860216958,0.29395096589412006,0.013041527376377158,0.061079285240599086,0.2050715908408165,0.3603403536336763,0.17030691994088037
21,0.0066452574683353305,0.6472538496766772,0.3016146740743092,0.004056859761476517,0.0801468315933432,0.2183570515896593,0.28415753692388535,0.12182613302554403
22,0.002793764030294759,0.5735006928443909,0.2839696290237563,0.13557015420935517,0.06458973924496345,0.17769294072474753,0.2819259049636977,0.11627857041146074
23,0.003927180460388107,0.5154314381735665,0.17643576035542147,0.05071902575270672,0.07233961059578828,0.16477385003651893,0.25013605292354313,0.12470908356564385
24,0.0029799611823234174,0.49888958249773296,0.1067619291799409,0.0154429815842637,0.0566229128411838,0.13388510633792197,0.19533862067120417,0.0672666345323835
25,0.0019981041716943893,0.4081679220710482,0.08789157654194112,0.008811051774370884,0.05478301178663969,0.17076349471296584,0.14134311409933226,0.06521552268947874
26,0.00215662330239346,0.36819377328668323,0.06283530099816355,0.01666670314235879,0.07260595235441412,0.14747163440499986,0.15557963560734475,0.07091771146016461
27,0.018020611801018407,0.3326505592891148,0.1291680998568024,0.031277159844259064,0.05234456308452146,0.1296058568571295,0.14320652985147067,0.05870129061596734
28,0.04459632247952478,0.2892266554491861,0.04859453106512644,0.06645456282421947,0.12383746395685843,0.13367262216550962,0.11465418179120336,0.04481469414063862
29,0.009180431886176978,0.27147295964615686,0.04859149414446965,0.03213184326887131,0.06394671382648605,0.13969139275806292,0.10407995379396848,0.06351319673870291
30,0.009811199103881205,0.24802200389759882,0.04009394028345322,0.04584015975706279,0.05649697221815586,0.1558322278516633,0.1137707100382873,0.06445186465446438
